Jamal Abdul_Kreem;237419203;28 December 2001;0550886891;;Nissan;2010;07 February 2013;17 April 2013;6934
Jamal Nassar;357547789;3 July 1971;;O96C80;Audi;2011;22 July 2013;27 July 2013;670
Amer Oday;117484123;27 August 1980;0532434556;;Nissan;2010;08 May 2014;28 May 2014;2310
Khalid Abdullah;498524718;21 April 1981;0531225755;;Ford;2012;25 June 2014;12 September 2014;4740
Tariq Alzeer;131200603;28 August 1976;0565069316;;Nissan;2012;29 July 2014;05 September 2014;4332
Jamal Nassar;357547789;8 May 2000;;E47I92;Volkswagen;2011;27 August 2014;17 October 2014;6834
Jaber Khalaf;263572079;23 January 2001;0519354443;;BMW;2010;27 September 2014;06 December 2014;8960
Jamal Nassar;357547789;14 November 1975;;P49J37;Mercedes;2013;08 October 2014;23 October 2014;1800
Jamal Nassar;357547789;7 August 1997;;F49Q10;Ford;2013;18 October 2014;29 December 2014;4464
Jamal Nassar;357547789;10 March 1996;;W78A72;BMW;2011;25 March 2015;23 May 2015;8378
Jaber Suleiman;206224474;17 March 1997;0572473194;;Mazda;2012;18 April 2015;03 May 2015;1462
Jamal Nassar;357547789;29 May 1975;;H38I70;Ford;2012;25 June 2015;09 September 2015;5244
Amer Jamal;550040966;16 February 1985;0530347452;;Ford;2013;30 June 2015;16 August 2015;3525
Abdallah Oday;424526927;1 August 1975;0552114260;;BMW;2015;09 July 2015;23 August 2015;6570
Abdullah Khalid;777654159;6 March 1971;0524448502;;Honda;2014;22 July 2015;30 September 2015;6825
Mariam Abdullah;346243124;24 February 1974;0556487987;;Nissan;2013;24 July 2015;29 August 2015;3348
Jamal Nassar;357547789;1 February 1974;;M91O65;Ford;2012;23 August 2015;06 November 2015;4500
Mohammad Khalid;889280974;3 February 1975;0533586065;;Volkswagen;2013;24 August 2015;12 September 2015;2812
Ahmad Salem;652956407;10 September 1980;0576694842;;Mercedes;2015;08 September 2015;13 October 2015;5110
Jamal Nassar;357547789;7 August 1997;;Q49D88;Mazda;2010;30 September 2015;11 October 2015;1287
Jamal Nassar;357547789;18 November 1975;;L58H69;Mazda;2012;10 October 2015;04 November 2015;2287
Salma Salem;401933019;29 June 1983;0513001043;;Nissan;2015;20 October 2015;05 December 2015;5106
Jamal Nassar;357547789;29 May 1977;;C34B68;Nissan;2011;23 October 2015;23 November 2015;3069
Jamal Nassar;357547789;1 May 1970;;S64G59;Mazda;2012;16 December 2015;07 January 2016;2607
Jamal Nassar;357547789;1 May 1992;;H77S73;Nissan;2010;22 December 2015;05 February 2016;4387
Salma Jaber;192992920;9 April 1999;0565081953;;Ford;2016;03 April 2016;08 June 2016;4752
Ahmad Mohammad;722899707;3 May 1979;0593013086;;Volkswagen;2015;24 May 2016;16 June 2016;2806
