Haneen Ahmad;527819627;24 July 1992;0513463269;F98Y40;Hyundai;2011;01 January 2012;27 January 2012;1690
Haneen Mohammad;670144664;13 January 1973;0549949077;L59Q49;Audi;2010;01 January 2012;17 March 2012;10184
Ahmad Jaber;973780525;28 July 1976;0520551737;C54Z31;Volkswagen;2011;01 January 2012;08 February 2012;5244
Saba Abdul_Kreem;;12 August 2002;0562848769;V28F29;BMW;2011;01 January 2012;25 January 2012;3456
Ahmad Salem;;24 October 1989;0584056551;B57X54;Mazda;2011;01 January 2012;23 January 2012;1980
Awwad Mohammad;152175205;15 November 1999;0568953221;A38M74;Mercedes;2012;01 January 2012;07 February 2012;4662
Abdullah Abdul_Kreem;328036526;14 May 1993;0561182854;P43C86;Mazda;2011;01 January 2012;14 February 2012;4818
Salam Suleiman;429159246;4 November 1997;0570696079;W13W87;Mazda;2012;01 January 2012;13 January 2012;1242
Khalid Abdullah;296930222;6 August 1976;0577699169;S81M47;Hyundai;2011;01 January 2012;29 January 2012;2044
Tariq Khalid;502169191;7 February 1983;0575365051;L64T17;Mercedes;2010;01 January 2012;20 February 2012;6400
Aseel Mohammad;133980094;5 August 1991;0585066139;S73X98;Volkswagen;2011;01 January 2012;07 January 2012;936
Saba Nassar;283712483;27 September 1987;0541106592;N43X76;BMW;2012;01 January 2012;16 March 2012;11100
Jaber Salem;485484438;11 July 1975;0526210932;Q22B14;Hyundai;2012;01 January 2012;04 January 2012;219
Khalid Ahmad;980938031;19 April 1996;0592852268;O57C51;BMW;2011;01 January 2012;15 February 2012;5580
Suleiman Zeyad;955678796;28 November 2000;0583308870;V82A82;Volkswagen;2010;01 January 2012;03 March 2012;9796
Abdullah Salem;100172702;17 October 1976;0567492470;A31L13;Volkswagen;2011;01 January 2012;02 February 2012;4928
Salma Mohammad;145446929;6 June 1989;0532991568;T38F35;Nissan;2011;01 January 2012;19 March 2012;9126
Mohammad Abdullah;214354845;29 January 1997;0595878701;Q96H76;Mercedes;2011;01 January 2012;07 January 2012;744
Salam Zeyad;811644775;8 April 1986;0555586872;X13X25;Kia;2010;01 January 2012;10 March 2012;4278
Salem Suleiman;120514041;28 August 1999;0547947761;J37Y19;Honda;2010;01 January 2012;19 February 2012;5292
Jamal Khalid;439301621;2 October 1989;0577887434;K65X40;Honda;2012;01 January 2012;25 February 2012;5280
Salem Jamal;215477544;28 September 1993;0556133730;G17M86;Mercedes;2012;01 January 2012;26 February 2012;8064
Razan Abdul_Kreem;;18 May 1990;0559459033;J67G99;Nissan;2012;01 January 2012;04 March 2012;6520
Tariq Abedlrahman;599176766;18 October 1997;0570926346;L80W41;BMW;2012;01 January 2012;14 February 2012;5456
Razan Khalaf;182071865;11 July 1996;0568766787;J66V33;Audi;2010;01 January 2012;13 March 2012;10944
